date,"reported new cases","reported total cases","reported new deaths","reported total deaths"
2020-03-18,3,3,0,0
2020-03-20,3,6,0,0
2020-03-21,8,14,0,0
2020-03-23,2,16,0,0
2020-03-24,26,42,0,0
2020-03-25,2,44,0,0
2020-03-27,14,58,0,0
2020-03-29,26,84,0,0
2020-03-30,10,94,0,0
2020-03-31,13,107,0,0
2020-04-01,4,111,0,0
2020-04-02,5,116,0,0
2020-04-03,14,130,1,1
2020-04-04,14,144,1,2
2020-04-05,3,147,0,2
2020-04-06,69,216,2,4
2020-04-07,14,230,0,4
2020-04-08,42,272,0,4
2020-04-09,10,282,0,4
2020-04-10,18,300,1,5
2020-04-11,41,339,0,5
2020-04-12,38,377,0,5
2020-04-13,42,419,0,5
2020-04-14,11,430,0,5
2020-04-15,19,449,0,5
2020-04-16,17,466,0,5
2020-04-17,23,489,0,5
2020-04-18,17,506,0,5
2020-04-19,48,554,0,5
2020-04-20,14,568,2,7
2020-04-21,22,590,0,7
2020-04-22,22,612,1,8
2020-04-23,19,631,0,8
2020-04-24,25,656,0,8
2020-04-25,9,665,0,8
2020-04-26,17,682,0,8
2020-04-27,13,695,0,8
2020-04-28,13,708,0,8
