date,reported new cases,reported total cases,reported new deaths,reported total deaths
2020-03-11,1,1,,
2020-03-12,,1,,
2020-03-13,,1,,
2020-03-14,,1,,
2020-03-15,,1,,
2020-03-16,,21,,0
2020-03-17,13,34,1,1
2020-03-18,16,50,0,1
2020-03-19,20,70,0,1
2020-03-20,30,80,0,1
2020-03-21,60,140,0,1
2020-03-22,67,207,0,1
2020-03-23,42,249,0,1
2020-03-24,71,320,0,1
2020-03-25,57,377,4,5
2020-03-26,108,485,0,5
2020-03-27,94,579,3,8
2020-03-28,84,663,5,13
2020-03-29,95,758,1,14
2020-03-30,89,847,2,16
2020-03-31,90,937,4,20
2020-04-01,136,1073,2,22
2020-04-02,104,1177,4,26
2020-04-03,181,1358,3,29
2020-04-04,97,1455,6,35
2020-04-05,183,1638,8,43
