date,reported new cases,reported total cases,reported new deaths,reported total deaths
2020-04-03,1,1,0,0
2020-04-04,0,1,0,0
2020-04-05,0,1,0,0
2020-04-06,2,3,0,0
2020-04-07,0,3,0,0
2020-04-08,0,3,0,0
2020-04-09,1,4,0,0
2020-04-10,2,6,0,0
2020-04-11,1,7,0,0
2020-04-12,1,8,0,0
2020-04-13,0,8,0,0
2020-04-14,0,8,0,0
2020-04-15,0,8,0,0
2020-04-16,0,8,0,0
2020-04-17,0,10,0,0
2020-04-18,0,11,0,0
2020-04-19,0,11,0,0
2020-04-20,0,11,0,0
2020-04-21,0,11,0,0
2020-04-22,2,13,0,0
2020-04-23,1,14,0,0
2020-04-24,3,17,0,0
2020-04-25,1,18,0,0
2020-04-26,7,25,0,0
2020-04-27,4,29,0,0
2020-04-28,1,30,0,0
2020-04-29,1,31,0,0
2020-04-30,1,32,0,0
2020-05-01,2,34,0,0
2020-05-02,-2,32,0,0
2020-05-03,1,33,0,0
2020-05-04,0,33,0,0
2020-05-05,1,34,0,0
2020-05-06,1,35,0,0
2020-05-07,2,37,0,0
2020-05-08,4,41,0,0
2020-05-09,0,41,0,0
2020-05-10,0,41,0,0
2020-05-11,0,41,0,0
2020-05-12,0,41,0,0
2020-05-13,2,43,0,0
2020-05-14,0,43,0,0
2020-05-15,0,43,0,0
2020-05-16,1,44,0,0
2020-05-17,0,44,0,0
2020-05-18,1,45,0,0
2020-05-19,0,45,0,0
2020-05-21,3,48,0,0
2020-05-22,1,49,1,1
2020-05-23,1,50,0,1
2020-05-24,1,51,0,1
