date,reported new cases,reported total cases,reported new deaths,reported total deaths
2020-03-06,1,1,0,0
2020-03-07,0,1,0,0
2020-03-08,0,1,0,0
2020-03-09,0,1,0,0
2020-03-10,0,1,0,0
2020-03-11,0,1,0,0
2020-03-12,0,1,0,0
2020-03-13,5,6,0,0
2020-03-14,0,6,0,0
2020-03-15,1,7,0,0
2020-03-16,0,7,0,0
2020-03-17,2,9,0,0
2020-03-18,5,14,0,0
2020-03-19,0,14,0,0
2020-03-20,9,23,0,0
2020-03-21,10,33,0,0
2020-03-22,10,43,0,0
2020-03-23,11,54,0,0
2020-03-24,30,84,0,0
2020-03-25,17,101,0,0
2020-03-26,55,156,1,1
2020-03-27,29,185,2,3
2020-03-28,41,226,1,4
2020-03-29,50,276,0,4
2020-03-30,27,303,0,4
2020-03-31,35,338,1,5
2020-04-01,52,390,2,7
2020-04-02,80,470,1,8
2020-04-03,72,542,2,10
2020-04-04,74,616,3,13
2020-04-05,92,708,1,14
2020-04-06,114,822,1,15
2020-04-07,76,898,5,20
2020-04-08,136,1034,3,23
2020-04-09,188,1222,3,26
2020-04-10,155,1377,4,30
2020-04-11,133,1510,9,39
2020-04-12,84,1594,0,39
2020-04-13,118,1712,1,40
2020-04-14,94,1806,5,45
2020-04-15,76,1882,14,59
2020-04-16,117,1999,10,69
2020-04-17,227,2226,4,73
2020-04-18,91,2317,4,77
2020-04-19,88,2405,13,90
2020-04-20,79,2484,9,99
2020-04-21,170,2654,19,118
2020-04-22,103,2757,5,123
2020-04-23,145,2902,-4,119
2020-04-24,153,3055,10,129
2020-04-25,105,3161,11,140
2020-04-26,200,3361,2,142
2020-04-27,102,3463,19,161
2020-04-28,156,3619,63,224
2020-04-29,77,3696,9,235
2020-04-30,152,3848,5,240
2020-05-01,151,3999,15,255
2020-05-02,114,4113,0,255
2020-05-03,85,4198,3,258
2020-05-04,71,4269,60,318
2020-05-05,104,4373,8,326
2020-05-06,124,4497,50,376
