date,reported new cases,reported total cases,reported new deaths,reported total deaths
2020-03-09,1,1,0,0
2020-03-10,0,1,0,0
2020-03-11,0,1,0,0
2020-03-12,0,1,0,0
2020-03-13,3,4,0,0
2020-03-14,0,4,0,0
2020-03-15,0,4,0,0
2020-03-16,0,4,0,0
2020-03-17,4,8,0,0
2020-03-18,3,11,0,0
2020-03-19,5,16,0,0
2020-03-20,16,32,0,0
2020-03-21,8,40,0,0
2020-03-22,21,61,0,0
2020-03-23,13,74,0,0
2020-03-24,22,96,0,0
2020-03-25,44,140,2,2
2020-03-26,50,190,2,4
2020-03-27,42,232,1,5
2020-03-28,43,275,0,5
2020-03-29,25,300,0,5
2020-03-30,32,332,1,6
2020-03-31,58,390,2,8
2020-04-01,79,469,0,8
2020-04-02,72,541,2,10
2020-04-03,76,617,3,13
2020-04-04,91,708,1,14
2020-04-05,114,822,1,15
2020-04-06,76,898,5,20
2020-04-07,144,1042,5,25
2020-04-08,196,1238,3,28
2020-04-09,164,1402,3,31
2020-04-10,138,1540,0,31
2020-04-11,93,1633,9,40
2020-04-12,117,1750,1,41
2020-04-13,101,1851,5,46
2020-04-14,84,1935,15,60
2020-04-15,120,2055,11,71
2020-04-16,226,2281,3,74
2020-04-17,91,2372,4,78
2020-04-18,88,2460,13,91
2020-04-19,85,2545,9,100
2020-04-20,153,2698,5,105
2020-04-21,100,2798,19,124
2020-04-22,165,2963,0,124
2020-04-23,143,3106,7,131
2020-04-24,107,3213,12,143
2020-04-25,120,3333,1,144
2020-04-26,72,3405,1,145
2020-04-27,109,3514,19,164
2020-04-28,158,3672,60,224
2020-04-29,75,3747,11,235
2020-04-30,148,3895,5,240
2020-05-01,158,4053,15,255
2020-05-02,120,4173,0,255
2020-05-03,83,4256,3,258
2020-05-04,70,4326,62,320
2020-05-05,104,4430,6,326
2020-05-06,124,4554,50,376
2020-05-07,185,4739,6,382
2020-05-08,155,4894,12,394
2020-05-09,138,5032,1,395
2020-05-10,69,5101,4,399
2020-05-11,35,5136,6,405
2020-05-12,72,5208,14,419
2020-05-13,97,5305,29,448
2020-05-14,164,5469,18,466
2020-05-15,142,5611,12,478
2020-05-16,24,5965,11,556
2020-05-17,25,5990,8,564
2020-05-18,90,6080,12,576
2020-05-19,86,6166,7,583
2020-05-20,87,6253,11,594
2020-05-21,51,6304,7,601
2020-05-22,61,6365,3,604
2020-05-23,32,6397,3,607
2020-05-24,24,6421,6,613
2020-05-25,23,6444,9,622
2020-05-26,61,6505,3,625
2020-05-27,47,6552,2,627
2020-05-28,27,6579,8,635
2020-05-29,38,6617,4,639
2020-05-30,25,6642,0,639
2020-05-31,17,6659,3,642
2020-06-01,35,6694,4,646
2020-06-02,34,6728,7,653
2020-06-03,23,6751,2,655
2020-06-04,28,6779,3,658
2020-06-05,39,6818,0,658
2020-06-06,15,6833,2,660
2020-06-07,11,6844,1,661
2020-06-08,27,6871,1,662
2020-06-09,33,6904,0,662
2020-06-10,26,6930,1,663
2020-06-11,30,6960,3,666
2020-06-12,14,6974,2,668
2020-06-13,3,6977,0,668
2020-06-14,1,6978,0,668
